DBHID	PlotName	PlotID	Family	Genus	SpeciesName	Mnemonic	Subspecies	SpeciesID	SubspeciesID	QuadratName	QuadratID	PX	PY	QX	QY	TreeID	Tag	StemID	StemNumber	StemTag	PrimaryStem	CensusID	PlotCensusNumber	DBH	HOM	ExactDate	Date	ListOfTSM	HighHOM	LargeStem	Status
35	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1		main	128	1	128	2.15	1996-12-30	13513	B	1	\N	alive
80	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1		main	177	2	128	2.10	2008-03-28	17619	B;cylY	1	\N	alive
101	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1		main	198	3	122	2.10	2010-04-06	18358	B	1	\N	alive
135797	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1		\N	215	4	126	2.10	2011-04-19	18736	B;cylY	0	\N	alive
151077	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1		\N	215	4	125	2.70	2011-04-19	18736	cylY	1	\N	alive
47372	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1			254	5	125	2.70	2012-03-23	19075	B;cylY	1	\N	alive
46877	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1			267	6	126	2.70	2013-04-08	19456	B;cylY	1	\N	alive
2415249	P19	117	Arecaceae	Socratea	exorrhiza	socrex	\N	1163	\N	0203	798	40.90000	60.90000	0.90000	0.90000	421075	512701	421065	1		\N	280	7	126	2.70	2014-04-04	19817	B;cylY	1	\N	alive
173	P19	117	Moraceae	Brosimum	guianense	brosgu	\N	110	\N	0203	798	43.90000	62.20000	3.90000	2.20000	421076	512702	421066	1	\N	main	128	1	165	1.30	1996-12-30	13513	\N	1	\N	alive
218	P19	117	Moraceae	Brosimum	guianense	brosgu	\N	110	\N	0203	798	43.90000	62.20000	3.90000	2.20000	421076	512702	421066	1	\N	main	177	2	\N	1.30	2008-03-28	17619	D;C	1	\N	dead
239	P19	117	Moraceae	Brosimum	guianense	brosgu	\N	110	\N	0203	798	43.90000	62.20000	3.90000	2.20000	421076	512702	421066	1	\N	main	198	3	\N	\N	2010-04-05	18357	D;N	1	\N	dead
311	P19	117	Fabaceae-mimosoideae	Inga	cocleensis	ingaco	\N	529	\N	0203	798	45.60000	63.20000	5.60000	3.20000	421077	512703	421067	1		main	128	1	134	1.30	1996-12-30	13513	\N	1	\N	alive
